antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Additive:BYK-333', 'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.42,0.545,0.385,0.9166666666666666,1.6819571865443423,1.0,0.1561,5.459999999999997,0.6990595611285265,0.6637931034482758,0.8168498168498167,0.8115443425076452
"frozenset({'Additive:BYK-333', 'Pigment:TiO2', 'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.42,0.545,0.385,0.9166666666666666,1.6819571865443423,1.0,0.1561,5.459999999999997,0.6990595611285265,0.6637931034482758,0.8168498168498167,0.8115443425076452
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Pigment:TiO2', 'Resin:Acrylic_A', 'Surfactant:Tego270'})",0.155,0.41,0.14,0.903225806451613,2.2029897718332023,1.0,0.07645000000000002,6.096666666666673,0.6462383770076079,0.32941176470588246,0.835975943138327,0.6223446105428797
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Surfactant:Tego270', 'Resin:Acrylic_A'})",0.155,0.425,0.14,0.903225806451613,2.125237191650854,1.0,0.07412500000000001,5.941666666666672,0.6265849535080305,0.31818181818181823,0.8316970546984574,0.6163187855787478
"frozenset({'Pigment:TiO2', 'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Surfactant:Tego270'})",0.155,0.425,0.14,0.903225806451613,2.125237191650854,1.0,0.07412500000000001,5.941666666666672,0.6265849535080305,0.31818181818181823,0.8316970546984574,0.6163187855787478
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A', 'Pigment:TiO2'})",0.155,0.44,0.14,0.903225806451613,2.052785923753666,1.0,0.07180000000000002,5.786666666666672,0.6069315300084532,0.30769230769230776,0.8271889400921659,0.6107038123167157
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A'})",0.155,0.455,0.14,0.903225806451613,1.9851116625310175,1.0,0.06947500000000001,5.631666666666671,0.5872781065088758,0.29787234042553196,0.8224326723882808,0.6054590570719603
"frozenset({'Pigment:TiO2', 'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A'})",0.155,0.455,0.14,0.903225806451613,1.9851116625310175,1.0,0.06947500000000001,5.631666666666671,0.5872781065088758,0.29787234042553196,0.8224326723882808,0.6054590570719603
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Pigment:TiO2'})",0.155,0.485,0.14,0.903225806451613,1.862321250415697,1.0,0.06482500000000002,5.321666666666672,0.5479712595097213,0.28,0.8120889445662388,0.595942800133023
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})",frozenset({'Additive:BYK-333'}),0.155,0.53,0.14,0.903225806451613,1.704199634814364,1.0,0.05785000000000001,4.856666666666671,0.4890109890109891,0.25688073394495414,0.7940974605353468,0.5836883749239197
"frozenset({'Solvent:Toluene', 'Thickener:Xanthan', 'Pigment:TiO2'})",frozenset({'Additive:BYK-333'}),0.155,0.53,0.14,0.903225806451613,1.704199634814364,1.0,0.05785000000000001,4.856666666666671,0.4890109890109891,0.25688073394495414,0.7940974605353468,0.5836883749239197
"frozenset({'Additive:BYK-333', 'Solvent:Toluene'})","frozenset({'Surfactant:Tego270', 'Pigment:TiO2'})",0.465,0.555,0.42,0.9032258064516128,1.6274338854984012,1.0,0.16192499999999993,4.5983333333333265,0.7206275033377836,0.6999999999999998,0.7825299021384556,0.8299912816041847
